label,count,min_us,p50_us,p99_us,p999_us,max_us,mean_us
ping_rtt,30000,9.464,10.871,14.631,24.239,135.167,10.907
lpush_rtt,30000,9.952,11.263,14.943,24.175,137.727,11.276
