label,count,min_us,p50_us,p99_us,p999_us,max_us,mean_us
dispatch_co_n1,5000,132.096,192.383,338.431,479.487,583.679,197.221
dispatch_pure_n1,5000,86.848,97.471,178.687,280.575,458.751,99.461
dispatch_co_n4,2500,197.888,290.559,461.567,577.023,662.015,292.602
dispatch_pure_n4,2500,152.192,169.599,303.871,405.759,519.935,174.001
dispatch_co_n16,833,496.384,612.351,903.167,1144.831,1144.831,614.422
dispatch_pure_n16,833,419.328,466.175,739.839,939.007,939.007,471.883
dispatch_co_n64,500,1595.392,1791.999,2193.407,2762.751,2762.751,1797.682
dispatch_pure_n64,500,1499.136,1652.735,2007.039,2605.055,2605.055,1643.182
