stratum,set,segment,variant,class,score
high_motion,held_out,5,honest,honest,0.971032
high_motion,held_out,5,cheap_downscale,attack,0.940406
high_motion,held_out,5,wrong_bitrate,attack,0.480480
high_motion,held_out,5,frame_substitution,attack,0.126399
high_motion,held_out,5,garbage,attack,0.104872
high_motion,calibration,6,honest,honest,0.974431
high_motion,calibration,6,cheap_downscale,attack,0.941491
high_motion,calibration,6,wrong_bitrate,attack,0.537636
high_motion,calibration,6,frame_substitution,attack,0.134494
high_motion,calibration,6,garbage,attack,0.047950
high_motion,held_out,7,honest,honest,0.973759
high_motion,held_out,7,cheap_downscale,attack,0.938192
high_motion,held_out,7,wrong_bitrate,attack,0.439198
high_motion,held_out,7,frame_substitution,attack,0.118813
high_motion,held_out,7,garbage,attack,0.104468
