tier,p,n,f,m,k,binomial,hypergeometric,divergence_binomial_minus_hyper
high,0.25,4,0.25,1,1,0.250000,0.250000,+0.000000
high,0.25,4,0.375,2,1,0.437500,0.500000,-0.062500
high,0.25,4,0.5,2,1,0.437500,0.500000,-0.062500
high,0.25,4,0.75,3,1,0.578125,0.750000,-0.171875
high,0.25,4,1,4,1,0.683594,1.000000,-0.316406
high,0.25,8,0.03125,1,2,0.250000,0.250000,+0.000000
high,0.25,8,0.0625,1,2,0.250000,0.250000,+0.000000
high,0.25,8,0.125,1,2,0.250000,0.250000,+0.000000
high,0.25,8,0.1875,2,2,0.437500,0.464286,-0.026786
high,0.25,8,0.25,2,2,0.437500,0.464286,-0.026786
high,0.25,8,0.375,3,2,0.578125,0.642857,-0.064732
high,0.25,8,0.5,4,2,0.683594,0.785714,-0.102121
high,0.25,8,0.75,6,2,0.822021,0.964286,-0.142264
high,0.25,8,1,8,2,0.899887,1.000000,-0.100113
high,0.25,16,0.03125,1,4,0.250000,0.250000,+0.000000
high,0.25,16,0.0625,1,4,0.250000,0.250000,+0.000000
high,0.25,16,0.125,2,4,0.437500,0.450000,-0.012500
high,0.25,16,0.1875,3,4,0.578125,0.607143,-0.029018
high,0.25,16,0.25,4,4,0.683594,0.728022,-0.044428
high,0.25,16,0.375,6,4,0.822021,0.884615,-0.062594
high,0.25,16,0.5,8,4,0.899887,0.961538,-0.061651
high,0.25,16,0.75,12,4,0.968324,0.999451,-0.031127
high,0.25,16,1,16,4,0.989977,1.000000,-0.010023
high,0.25,32,0.03125,1,8,0.250000,0.250000,+0.000000
high,0.25,32,0.0625,2,8,0.437500,0.443548,-0.006048
high,0.25,32,0.125,4,8,0.683594,0.704505,-0.020911
high,0.25,32,0.1875,6,8,0.822021,0.851471,-0.029449
high,0.25,32,0.25,8,8,0.899887,0.930077,-0.030190
high,0.25,32,0.375,12,8,0.968324,0.988024,-0.019700
high,0.25,32,0.5,16,8,0.989977,0.998776,-0.008799
high,0.25,32,0.75,24,8,0.998997,1.000000,-0.001003
high,0.25,32,1,32,8,0.999900,1.000000,-0.000100
high,0.25,64,0.03125,2,16,0.437500,0.440476,-0.002976
high,0.25,64,0.0625,4,16,0.683594,0.693756,-0.010162
high,0.25,64,0.125,8,16,0.899887,0.914746,-0.014859
high,0.25,64,0.1875,12,16,0.968324,0.978787,-0.010463
high,0.25,64,0.25,16,16,0.989977,0.995384,-0.005407
high,0.25,64,0.375,24,16,0.998997,0.999871,-0.000875
high,0.25,64,0.5,32,16,0.999900,0.999999,-0.000099
high,0.25,64,0.75,48,16,0.999999,1.000000,-0.000001
high,0.25,64,1,64,16,1.000000,1.000000,-0.000000
